id,category,value,active
1,HR,259.6144689974936,False
2,Sales,158.82399243025424,False
3,Tech,539.2898910374533,False
4,Sales,853.8014667059243,True
5,Sales,883.5346660399447,False
6,Operations,940.1302835053508,True
7,Tech,939.4600960995201,False
8,Tech,970.2271938149406,False
9,Tech,735.6516381557542,False
10,Sales,155.9528399790803,True
11,HR,636.95327471193,False
12,Tech,628.4596813803573,True
13,Sales,151.84763094614357,True
14,Operations,717.685871810008,True
15,HR,443.30790252385805,True
16,Operations,116.71249866477639,False
17,HR,938.303558073134,True
18,Sales,232.2032892645446,True
19,Finance,167.7568475347411,False
20,HR,242.57666871224714,False
21,Operations,776.068610557719,False
22,Sales,782.6463219355032,False
23,HR,131.45871151656263,True
24,Finance,537.1378366797471,True
25,Finance,705.6206843378105,False
26,Tech,698.8126571492506,True
27,Tech,687.3909460887637,False
28,Operations,453.08973651003606,True
29,HR,438.6832144457412,False
30,HR,923.4198086205292,False
31,Tech,955.6203468598983,True
32,HR,217.5507663074266,True
33,HR,995.725650193743,True
34,Finance,180.7050217317055,False
35,Tech,797.0845921205233,True
36,Sales,149.0674025312689,False
37,Tech,642.8343691218025,True
38,Sales,576.3813646068622,True
39,Finance,998.767827694928,False
40,Operations,542.3056787558078,False
41,HR,652.0237638792596,False
42,Finance,734.4595813214735,True
43,HR,739.254069382631,False
44,Operations,655.8189794096998,False
45,Operations,795.400624785443,False
46,Finance,745.5623672259716,True
47,Operations,399.78346996985056,True
48,Sales,165.20122629824027,False
49,Operations,907.9462968026393,False
50,HR,59.279430835658076,True
51,HR,243.49539553221558,False
52,HR,572.5216644736527,True
53,HR,798.2431826800112,False
54,Sales,252.91779018161404,False
55,Tech,653.0645207475171,True
56,Finance,409.1158693519958,True
57,HR,53.26522384864184,True
58,Operations,729.3778085910678,True
59,HR,643.7394905609567,False
60,Operations,102.73206641039593,False
61,Operations,876.0529999683877,True
62,HR,211.74460878676516,True
63,Sales,814.1183388599637,False
64,Operations,432.1588482475502,True
65,Operations,257.2626397136973,False
66,HR,606.1693606556669,True
67,Operations,478.5587335072199,True
68,Operations,905.4335601444327,True
69,HR,661.9946014420987,False
70,HR,829.3094160128194,False
71,Finance,90.00641508337705,True
72,Sales,501.5916758619187,False
73,Sales,359.16275253782936,True
74,Operations,201.8165725614989,False
75,Sales,975.5179535367929,True
76,Operations,705.4032065141158,True
77,Finance,343.62619029455624,False
78,HR,459.7060197141631,False
79,HR,540.2582101970008,False
80,HR,64.45261401598825,True
81,Sales,785.5843095453976,False
82,Finance,817.1011519673315,False
83,Sales,739.8815144685,False
84,Sales,408.1650209210659,False
85,Finance,144.561121846944,True
86,Finance,54.72644567219886,False
87,Finance,464.57491878746,True
88,Finance,952.2031072340063,False
89,HR,492.6480601264842,True
90,Tech,903.2899433118394,True
91,Tech,615.2376800395383,False
92,Finance,640.3469148280602,True
93,Tech,811.7172747707805,False
94,Tech,323.7520589614899,False
95,Finance,553.1829155547919,False
96,Tech,136.4602639952485,False
97,Sales,957.3244497985911,True
98,Operations,994.7648662758049,True
99,Operations,591.7817305086983,False
100,Finance,925.5672020741121,False
101,HR,843.5619274034595,False
102,Finance,549.3987455894242,False
103,HR,639.450738723865,True
104,Operations,742.6485834807123,True
105,Finance,364.9351340327276,False
106,Sales,344.14061125306023,False
107,Tech,837.2836070236531,False
108,HR,229.2840129894647,False
109,Tech,274.5301030375193,False
110,Tech,612.6896768182418,True
111,Finance,427.51310875350816,False
112,Tech,174.6032738980973,False
113,Sales,984.703398737477,True
114,Tech,499.60462040240685,False
115,Finance,998.989073323243,True
116,Sales,478.7911434969397,True
117,Operations,795.898209903573,True
118,Tech,718.6972879676799,False
119,Finance,359.8885306318434,False
120,Operations,129.12775521372532,False
121,Operations,194.1235585081204,False
122,HR,86.34992894003793,True
123,Sales,674.2632590547713,False
124,Tech,112.27831148761715,True
125,Finance,331.2800984787269,False
126,HR,158.87576303148182,False
127,Sales,604.36675824839,False
128,HR,716.455979559957,True
129,Sales,473.2507597275193,True
130,Sales,960.0187123788327,False
131,Tech,305.5458816543875,True
132,Sales,992.5498077025018,True
133,HR,605.8596653403041,False
134,Sales,867.389852904692,True
135,Tech,163.98811973672642,True
136,Tech,984.4814012200688,True
137,HR,767.2975860820628,True
138,Operations,614.9017607840951,True
139,Operations,54.62008047929806,False
140,Sales,54.00390901079815,True
141,Finance,210.45801644092487,False
142,Sales,436.84527797431895,True
143,HR,331.1096500282313,True
