id,category,value
1,C,430.2514342384954
2,A,449.7793292030935
3,C,473.88687836660523
4,C,204.7691162870876
5,A,116.39879797845921
6,A,193.08400104868227
7,C,173.1269271533876
8,B,96.31541712640143
9,C,307.5606683497291
10,C,243.54583864922816
11,C,434.1934862387618
12,C,25.733694436208545
13,A,325.4952845020119
14,C,383.84495047066497
15,B,382.14841890227046
16,A,444.1762438768073
17,B,367.22653398645207
18,B,464.6269302073712
19,B,173.00173391223683
20,B,256.57261420825614
21,A,16.89903500861643
22,A,13.409217778612694
23,B,127.66204402124474
24,B,59.395526598151775
25,A,137.50357028851926
26,A,96.75121431891472
27,A,23.97481217093764
28,C,455.5590317389642
29,C,14.029334380556847
30,C,370.68025072517185
31,B,84.5524645905631
32,C,456.992514779804
33,B,447.47001039904404
34,B,330.4115617209361
35,C,339.39473340229654
36,B,12.616179565147387
37,C,492.58706739566503
38,C,440.13797575214903
39,A,448.60205060774507
40,C,333.02982315492727
41,A,178.9455950407229
42,C,447.8878380543356
43,C,152.84329479408424
44,A,285.7286562376794
45,A,58.868176448502375
46,C,461.7582587650476
47,B,78.97752430789453
48,A,120.19943480789956
49,B,283.48573748282536
50,B,384.40557010436095
51,B,313.4821399087865
52,A,123.74561727207652
53,B,10.462090838470264
54,A,381.0037843506452
55,B,492.75158969643593
56,C,406.8574289499843
57,C,235.50124289674153
58,A,452.84595808556224
59,C,210.82535982799152
60,C,267.2177012792991
61,B,243.79358602388479
62,A,229.33569760610723
63,B,389.8434769540138
64,B,268.11676456205106
65,B,165.19138979235586
66,B,136.49750215265436
67,B,28.49618531404236
68,B,295.7656293226925
69,B,122.68109354650676
70,A,82.58562178802771
71,C,330.3766822755621
72,B,343.79253633255894
73,B,378.5558972062563
74,B,256.7526792059098
75,B,448.0867565499044
76,B,468.8079491651316
77,B,405.6117604983198
78,C,321.44080618401176
79,C,158.82326725968244
80,B,491.6430115939084
81,C,144.3267219240498
82,A,109.30189177531122
83,B,226.65551575542554
84,A,37.85187964907034
85,A,489.4622876891775
86,B,298.3324426440482
87,C,282.90652491544586
88,A,331.34017715086276
89,B,253.54158741083126
90,A,25.711123376325375
91,A,310.0325315317944
92,A,360.925199708651
93,A,214.20703970578603
94,C,381.07483031488454
95,A,121.2306366758261
96,A,118.42552962243018
97,A,89.09432396691123
98,C,192.2774322966893
99,A,425.03589734065093
100,A,415.6769104530415
101,C,197.58386190211687
102,C,298.66818063031593
103,C,363.19999507270865
104,A,128.19131956773126
105,C,92.38913208842607
106,C,486.3270366740324
107,A,312.6030834727131
108,C,490.8937036984953
109,A,175.50043369479226
110,B,354.48553298732446
111,C,119.07578190520648
112,B,137.98808392421734
113,A,260.8320394221157
114,C,166.6128814989549
115,A,92.13456628188639
116,B,138.81154397476973
117,A,27.516713288273674
118,C,355.1675745239684
119,C,251.1371619720722
120,B,56.179102538217556
121,A,94.13005663296069
122,C,60.241923675195565
123,B,310.17047605517945
124,C,56.16307817012196
125,C,379.59834318725586
126,A,20.050350466991674
127,C,132.1941361179871
128,A,446.4266711870345
129,C,362.08034587990056
130,B,45.75448313358698
131,C,412.35179119773807
132,A,251.58720955470034
133,A,424.9236833127263
134,B,304.3624894806928
135,C,344.09818569610076
136,C,496.815764593897
137,B,123.8444175027689
138,C,315.7333316330803
139,C,235.5574811281252
140,A,29.331456932118805
141,C,17.090614336403867
142,C,68.42200313075075
143,B,328.05495286388856
144,B,287.9099130775622
145,A,281.1804849702264
146,C,25.60981363884744
147,C,239.95846821640345
148,C,463.065180742839
149,A,204.82001596221684
150,A,316.2120101963436
151,B,392.1111510553403
152,A,394.12338677952494
153,C,264.447240373683
154,C,430.3964532471448
155,A,201.77526574823602
156,C,445.4596752445512
157,C,127.7113115338172
158,A,147.30603942537982
159,A,36.02910585751054
160,C,399.8350999057186
161,C,214.35706575402574
162,C,122.26714081658552
163,B,123.57723603212403
164,B,451.68597120232425
165,B,418.61913422590806
166,A,281.23013382501983
167,B,311.89429220370334
168,A,242.4195295696426
169,A,201.91660601061633
170,B,458.5836717969824
